output_type,prompt_id,prompt_idx,seed,fidelity_score,above_threshold,image_path
bar_chart,bc_00,0,37,0.25,0,experiment\images\bar_chart\bc_00\seed_0037.png
bar_chart,bc_00,0,38,0.6333,0,experiment\images\bar_chart\bc_00\seed_0038.png
bar_chart,bc_00,0,39,0.25,0,experiment\images\bar_chart\bc_00\seed_0039.png
bar_chart,bc_00,0,40,0.25,0,experiment\images\bar_chart\bc_00\seed_0040.png
bar_chart,bc_00,0,41,0.25,0,experiment\images\bar_chart\bc_00\seed_0041.png
bar_chart,bc_00,0,42,0.25,0,experiment\images\bar_chart\bc_00\seed_0042.png
bar_chart,bc_00,0,43,1.0,1,experiment\images\bar_chart\bc_00\seed_0043.png
bar_chart,bc_00,0,44,0.4,0,experiment\images\bar_chart\bc_00\seed_0044.png
bar_chart,bc_00,0,45,0.25,0,experiment\images\bar_chart\bc_00\seed_0045.png
bar_chart,bc_00,0,46,0.25,0,experiment\images\bar_chart\bc_00\seed_0046.png
bar_chart,bc_00,0,47,0.4,0,experiment\images\bar_chart\bc_00\seed_0047.png
bar_chart,bc_00,0,48,0.35,0,experiment\images\bar_chart\bc_00\seed_0048.png
bar_chart,bc_00,0,49,0.25,0,experiment\images\bar_chart\bc_00\seed_0049.png
bar_chart,bc_00,0,50,0.25,0,experiment\images\bar_chart\bc_00\seed_0050.png
bar_chart,bc_00,0,51,0.25,0,experiment\images\bar_chart\bc_00\seed_0051.png
bar_chart,bc_00,0,52,0.25,0,experiment\images\bar_chart\bc_00\seed_0052.png
bar_chart,bc_00,0,53,0.25,0,experiment\images\bar_chart\bc_00\seed_0053.png
bar_chart,bc_00,0,54,0.25,0,experiment\images\bar_chart\bc_00\seed_0054.png
bar_chart,bc_00,0,55,0.25,0,experiment\images\bar_chart\bc_00\seed_0055.png
bar_chart,bc_00,0,56,0.875,1,experiment\images\bar_chart\bc_00\seed_0056.png
bar_chart,bc_00,0,57,0.25,0,experiment\images\bar_chart\bc_00\seed_0057.png
bar_chart,bc_00,0,58,0.35,0,experiment\images\bar_chart\bc_00\seed_0058.png
bar_chart,bc_00,0,59,0.25,0,experiment\images\bar_chart\bc_00\seed_0059.png
bar_chart,bc_00,0,60,0.7,1,experiment\images\bar_chart\bc_00\seed_0060.png
bar_chart,bc_00,0,61,0.25,0,experiment\images\bar_chart\bc_00\seed_0061.png
bar_chart,bc_00,0,62,0.25,0,experiment\images\bar_chart\bc_00\seed_0062.png
bar_chart,bc_00,0,63,0.25,0,experiment\images\bar_chart\bc_00\seed_0063.png
bar_chart,bc_00,0,64,0.8,1,experiment\images\bar_chart\bc_00\seed_0064.png
bar_chart,bc_00,0,65,0.25,0,experiment\images\bar_chart\bc_00\seed_0065.png
bar_chart,bc_00,0,66,0.25,0,experiment\images\bar_chart\bc_00\seed_0066.png
bar_chart,bc_00,0,67,0.75,1,experiment\images\bar_chart\bc_00\seed_0067.png
bar_chart,bc_00,0,68,0.25,0,experiment\images\bar_chart\bc_00\seed_0068.png
bar_chart,bc_00,0,69,0.25,0,experiment\images\bar_chart\bc_00\seed_0069.png
bar_chart,bc_00,0,70,0.25,0,experiment\images\bar_chart\bc_00\seed_0070.png
bar_chart,bc_00,0,71,0.25,0,experiment\images\bar_chart\bc_00\seed_0071.png
bar_chart,bc_00,0,72,0.35,0,experiment\images\bar_chart\bc_00\seed_0072.png
bar_chart,bc_00,0,73,0.25,0,experiment\images\bar_chart\bc_00\seed_0073.png
bar_chart,bc_00,0,74,0.6,0,experiment\images\bar_chart\bc_00\seed_0074.png
bar_chart,bc_00,0,75,0.25,0,experiment\images\bar_chart\bc_00\seed_0075.png
bar_chart,bc_00,0,76,0.25,0,experiment\images\bar_chart\bc_00\seed_0076.png
bar_chart,bc_00,0,77,0.35,0,experiment\images\bar_chart\bc_00\seed_0077.png
bar_chart,bc_00,0,78,0.25,0,experiment\images\bar_chart\bc_00\seed_0078.png
bar_chart,bc_00,0,79,0.7,1,experiment\images\bar_chart\bc_00\seed_0079.png
bar_chart,bc_00,0,80,0.25,0,experiment\images\bar_chart\bc_00\seed_0080.png
bar_chart,bc_00,0,81,0.25,0,experiment\images\bar_chart\bc_00\seed_0081.png
bar_chart,bc_00,0,82,0.25,0,experiment\images\bar_chart\bc_00\seed_0082.png
bar_chart,bc_00,0,83,0.25,0,experiment\images\bar_chart\bc_00\seed_0083.png
bar_chart,bc_00,0,84,0.2778,0,experiment\images\bar_chart\bc_00\seed_0084.png
bar_chart,bc_00,0,85,0.25,0,experiment\images\bar_chart\bc_00\seed_0085.png
bar_chart,bc_00,0,86,0.5,0,experiment\images\bar_chart\bc_00\seed_0086.png
bar_chart,bc_00,0,87,0.5,0,experiment\images\bar_chart\bc_00\seed_0087.png
bar_chart,bc_00,0,88,0.25,0,experiment\images\bar_chart\bc_00\seed_0088.png
bar_chart,bc_00,0,89,0.25,0,experiment\images\bar_chart\bc_00\seed_0089.png
bar_chart,bc_00,0,90,0.25,0,experiment\images\bar_chart\bc_00\seed_0090.png
bar_chart,bc_00,0,91,0.4615,0,experiment\images\bar_chart\bc_00\seed_0091.png
bar_chart,bc_00,0,92,0.25,0,experiment\images\bar_chart\bc_00\seed_0092.png
bar_chart,bc_00,0,93,0.25,0,experiment\images\bar_chart\bc_00\seed_0093.png
bar_chart,bc_00,0,94,0.475,0,experiment\images\bar_chart\bc_00\seed_0094.png
bar_chart,bc_00,0,95,0.25,0,experiment\images\bar_chart\bc_00\seed_0095.png
bar_chart,bc_00,0,96,0.25,0,experiment\images\bar_chart\bc_00\seed_0096.png
bar_chart,bc_00,0,97,0.25,0,experiment\images\bar_chart\bc_00\seed_0097.png
bar_chart,bc_00,0,98,0.25,0,experiment\images\bar_chart\bc_00\seed_0098.png
bar_chart,bc_00,0,99,0.25,0,experiment\images\bar_chart\bc_00\seed_0099.png
bar_chart,bc_00,0,100,0.25,0,experiment\images\bar_chart\bc_00\seed_0100.png
bar_chart,bc_00,0,101,0.25,0,experiment\images\bar_chart\bc_00\seed_0101.png
bar_chart,bc_00,0,102,0.25,0,experiment\images\bar_chart\bc_00\seed_0102.png
bar_chart,bc_00,0,103,0.25,0,experiment\images\bar_chart\bc_00\seed_0103.png
bar_chart,bc_00,0,104,0.25,0,experiment\images\bar_chart\bc_00\seed_0104.png
bar_chart,bc_00,0,105,0.25,0,experiment\images\bar_chart\bc_00\seed_0105.png
bar_chart,bc_00,0,106,0.25,0,experiment\images\bar_chart\bc_00\seed_0106.png
bar_chart,bc_00,0,107,0.25,0,experiment\images\bar_chart\bc_00\seed_0107.png
bar_chart,bc_00,0,108,0.35,0,experiment\images\bar_chart\bc_00\seed_0108.png
bar_chart,bc_00,0,109,0.25,0,experiment\images\bar_chart\bc_00\seed_0109.png
bar_chart,bc_00,0,110,0.25,0,experiment\images\bar_chart\bc_00\seed_0110.png
bar_chart,bc_00,0,111,0.25,0,experiment\images\bar_chart\bc_00\seed_0111.png
bar_chart,bc_00,0,112,0.25,0,experiment\images\bar_chart\bc_00\seed_0112.png
bar_chart,bc_00,0,113,0.25,0,experiment\images\bar_chart\bc_00\seed_0113.png
bar_chart,bc_00,0,114,0.25,0,experiment\images\bar_chart\bc_00\seed_0114.png
bar_chart,bc_00,0,115,0.25,0,experiment\images\bar_chart\bc_00\seed_0115.png
bar_chart,bc_00,0,116,0.25,0,experiment\images\bar_chart\bc_00\seed_0116.png
bar_chart,bc_00,0,117,0.25,0,experiment\images\bar_chart\bc_00\seed_0117.png
bar_chart,bc_00,0,118,0.25,0,experiment\images\bar_chart\bc_00\seed_0118.png
bar_chart,bc_00,0,119,0.4545,0,experiment\images\bar_chart\bc_00\seed_0119.png
bar_chart,bc_00,0,120,0.25,0,experiment\images\bar_chart\bc_00\seed_0120.png
bar_chart,bc_00,0,121,0.25,0,experiment\images\bar_chart\bc_00\seed_0121.png
bar_chart,bc_00,0,122,0.4545,0,experiment\images\bar_chart\bc_00\seed_0122.png
bar_chart,bc_00,0,123,0.25,0,experiment\images\bar_chart\bc_00\seed_0123.png
bar_chart,bc_00,0,124,0.25,0,experiment\images\bar_chart\bc_00\seed_0124.png
bar_chart,bc_00,0,125,0.25,0,experiment\images\bar_chart\bc_00\seed_0125.png
bar_chart,bc_00,0,126,0.25,0,experiment\images\bar_chart\bc_00\seed_0126.png
bar_chart,bc_00,0,127,0.25,0,experiment\images\bar_chart\bc_00\seed_0127.png
bar_chart,bc_00,0,128,0.35,0,experiment\images\bar_chart\bc_00\seed_0128.png
bar_chart,bc_00,0,129,0.35,0,experiment\images\bar_chart\bc_00\seed_0129.png
bar_chart,bc_00,0,130,0.25,0,experiment\images\bar_chart\bc_00\seed_0130.png
bar_chart,bc_00,0,131,0.4143,0,experiment\images\bar_chart\bc_00\seed_0131.png
bar_chart,bc_00,0,132,0.25,0,experiment\images\bar_chart\bc_00\seed_0132.png
bar_chart,bc_00,0,133,0.25,0,experiment\images\bar_chart\bc_00\seed_0133.png
bar_chart,bc_00,0,134,0.25,0,experiment\images\bar_chart\bc_00\seed_0134.png
bar_chart,bc_00,0,135,0.25,0,experiment\images\bar_chart\bc_00\seed_0135.png
bar_chart,bc_00,0,136,0.25,0,experiment\images\bar_chart\bc_00\seed_0136.png
bar_chart,bc_00,0,137,0.25,0,experiment\images\bar_chart\bc_00\seed_0137.png
bar_chart,bc_00,0,138,0.25,0,experiment\images\bar_chart\bc_00\seed_0138.png
bar_chart,bc_00,0,139,0.25,0,experiment\images\bar_chart\bc_00\seed_0139.png
bar_chart,bc_00,0,140,0.35,0,experiment\images\bar_chart\bc_00\seed_0140.png
bar_chart,bc_00,0,141,0.35,0,experiment\images\bar_chart\bc_00\seed_0141.png
bar_chart,bc_00,0,142,0.25,0,experiment\images\bar_chart\bc_00\seed_0142.png
bar_chart,bc_00,0,143,0.25,0,experiment\images\bar_chart\bc_00\seed_0143.png
bar_chart,bc_00,0,144,0.25,0,experiment\images\bar_chart\bc_00\seed_0144.png
bar_chart,bc_00,0,145,0.7,1,experiment\images\bar_chart\bc_00\seed_0145.png
bar_chart,bc_00,0,146,0.35,0,experiment\images\bar_chart\bc_00\seed_0146.png
bar_chart,bc_00,0,147,0.25,0,experiment\images\bar_chart\bc_00\seed_0147.png
bar_chart,bc_00,0,148,0.25,0,experiment\images\bar_chart\bc_00\seed_0148.png
bar_chart,bc_00,0,149,0.25,0,experiment\images\bar_chart\bc_00\seed_0149.png
bar_chart,bc_00,0,150,0.25,0,experiment\images\bar_chart\bc_00\seed_0150.png
bar_chart,bc_00,0,151,0.7333,1,experiment\images\bar_chart\bc_00\seed_0151.png
bar_chart,bc_00,0,152,0.25,0,experiment\images\bar_chart\bc_00\seed_0152.png
bar_chart,bc_00,0,153,0.25,0,experiment\images\bar_chart\bc_00\seed_0153.png
bar_chart,bc_00,0,154,0.2333,0,experiment\images\bar_chart\bc_00\seed_0154.png
bar_chart,bc_00,0,155,0.25,0,experiment\images\bar_chart\bc_00\seed_0155.png
bar_chart,bc_00,0,156,0.25,0,experiment\images\bar_chart\bc_00\seed_0156.png
bar_chart,bc_00,0,157,0.25,0,experiment\images\bar_chart\bc_00\seed_0157.png
bar_chart,bc_00,0,158,0.25,0,experiment\images\bar_chart\bc_00\seed_0158.png
bar_chart,bc_00,0,159,0.3065,0,experiment\images\bar_chart\bc_00\seed_0159.png
bar_chart,bc_00,0,160,0.25,0,experiment\images\bar_chart\bc_00\seed_0160.png
bar_chart,bc_00,0,161,0.25,0,experiment\images\bar_chart\bc_00\seed_0161.png
bar_chart,bc_00,0,162,0.25,0,experiment\images\bar_chart\bc_00\seed_0162.png
bar_chart,bc_00,0,163,0.25,0,experiment\images\bar_chart\bc_00\seed_0163.png
bar_chart,bc_00,0,164,0.25,0,experiment\images\bar_chart\bc_00\seed_0164.png
bar_chart,bc_00,0,165,0.25,0,experiment\images\bar_chart\bc_00\seed_0165.png
bar_chart,bc_00,0,166,0.55,0,experiment\images\bar_chart\bc_00\seed_0166.png
bar_chart,bc_00,0,167,0.25,0,experiment\images\bar_chart\bc_00\seed_0167.png
bar_chart,bc_00,0,168,0.25,0,experiment\images\bar_chart\bc_00\seed_0168.png
bar_chart,bc_00,0,169,0.25,0,experiment\images\bar_chart\bc_00\seed_0169.png
bar_chart,bc_00,0,170,0.25,0,experiment\images\bar_chart\bc_00\seed_0170.png
bar_chart,bc_00,0,171,0.3125,0,experiment\images\bar_chart\bc_00\seed_0171.png
bar_chart,bc_00,0,172,0.25,0,experiment\images\bar_chart\bc_00\seed_0172.png
bar_chart,bc_00,0,173,0.25,0,experiment\images\bar_chart\bc_00\seed_0173.png
bar_chart,bc_00,0,174,0.4545,0,experiment\images\bar_chart\bc_00\seed_0174.png
bar_chart,bc_00,0,175,0.25,0,experiment\images\bar_chart\bc_00\seed_0175.png
bar_chart,bc_00,0,176,0.25,0,experiment\images\bar_chart\bc_00\seed_0176.png
bar_chart,bc_00,0,177,0.25,0,experiment\images\bar_chart\bc_00\seed_0177.png
bar_chart,bc_00,0,178,0.25,0,experiment\images\bar_chart\bc_00\seed_0178.png
bar_chart,bc_00,0,179,0.25,0,experiment\images\bar_chart\bc_00\seed_0179.png
bar_chart,bc_00,0,180,0.225,0,experiment\images\bar_chart\bc_00\seed_0180.png
bar_chart,bc_00,0,181,0.25,0,experiment\images\bar_chart\bc_00\seed_0181.png
bar_chart,bc_00,0,182,0.25,0,experiment\images\bar_chart\bc_00\seed_0182.png
bar_chart,bc_00,0,183,0.25,0,experiment\images\bar_chart\bc_00\seed_0183.png
bar_chart,bc_00,0,184,0.25,0,experiment\images\bar_chart\bc_00\seed_0184.png
bar_chart,bc_00,0,185,0.7,1,experiment\images\bar_chart\bc_00\seed_0185.png
bar_chart,bc_00,0,186,0.2,0,experiment\images\bar_chart\bc_00\seed_0186.png
bar_chart,bc_00,0,187,1.0,1,experiment\images\bar_chart\bc_00\seed_0187.png
bar_chart,bc_00,0,188,0.25,0,experiment\images\bar_chart\bc_00\seed_0188.png
bar_chart,bc_00,0,189,0.25,0,experiment\images\bar_chart\bc_00\seed_0189.png
bar_chart,bc_00,0,190,0.8,1,experiment\images\bar_chart\bc_00\seed_0190.png
bar_chart,bc_00,0,191,0.25,0,experiment\images\bar_chart\bc_00\seed_0191.png
bar_chart,bc_00,0,192,0.25,0,experiment\images\bar_chart\bc_00\seed_0192.png
bar_chart,bc_00,0,193,0.2609,0,experiment\images\bar_chart\bc_00\seed_0193.png
bar_chart,bc_00,0,194,0.25,0,experiment\images\bar_chart\bc_00\seed_0194.png
bar_chart,bc_00,0,195,0.25,0,experiment\images\bar_chart\bc_00\seed_0195.png
bar_chart,bc_00,0,196,0.35,0,experiment\images\bar_chart\bc_00\seed_0196.png
bar_chart,bc_00,0,197,0.25,0,experiment\images\bar_chart\bc_00\seed_0197.png
bar_chart,bc_00,0,198,0.25,0,experiment\images\bar_chart\bc_00\seed_0198.png
bar_chart,bc_00,0,199,0.7,1,experiment\images\bar_chart\bc_00\seed_0199.png
bar_chart,bc_00,0,200,0.7333,1,experiment\images\bar_chart\bc_00\seed_0200.png
bar_chart,bc_00,0,201,0.7,1,experiment\images\bar_chart\bc_00\seed_0201.png
bar_chart,bc_00,0,202,0.35,0,experiment\images\bar_chart\bc_00\seed_0202.png
bar_chart,bc_00,0,203,0.25,0,experiment\images\bar_chart\bc_00\seed_0203.png
bar_chart,bc_00,0,204,0.25,0,experiment\images\bar_chart\bc_00\seed_0204.png
bar_chart,bc_00,0,205,0.9,1,experiment\images\bar_chart\bc_00\seed_0205.png
bar_chart,bc_00,0,206,0.8,1,experiment\images\bar_chart\bc_00\seed_0206.png
bar_chart,bc_00,0,207,0.25,0,experiment\images\bar_chart\bc_00\seed_0207.png
bar_chart,bc_00,0,208,0.25,0,experiment\images\bar_chart\bc_00\seed_0208.png
bar_chart,bc_00,0,209,0.25,0,experiment\images\bar_chart\bc_00\seed_0209.png
bar_chart,bc_00,0,210,0.25,0,experiment\images\bar_chart\bc_00\seed_0210.png
bar_chart,bc_00,0,211,0.25,0,experiment\images\bar_chart\bc_00\seed_0211.png
bar_chart,bc_00,0,212,0.2727,0,experiment\images\bar_chart\bc_00\seed_0212.png
bar_chart,bc_00,0,213,0.25,0,experiment\images\bar_chart\bc_00\seed_0213.png
bar_chart,bc_00,0,214,0.25,0,experiment\images\bar_chart\bc_00\seed_0214.png
bar_chart,bc_00,0,215,0.25,0,experiment\images\bar_chart\bc_00\seed_0215.png
bar_chart,bc_00,0,216,0.7,1,experiment\images\bar_chart\bc_00\seed_0216.png
bar_chart,bc_00,0,217,0.25,0,experiment\images\bar_chart\bc_00\seed_0217.png
bar_chart,bc_00,0,218,0.25,0,experiment\images\bar_chart\bc_00\seed_0218.png
bar_chart,bc_00,0,219,0.25,0,experiment\images\bar_chart\bc_00\seed_0219.png
bar_chart,bc_00,0,220,0.25,0,experiment\images\bar_chart\bc_00\seed_0220.png
bar_chart,bc_00,0,221,0.25,0,experiment\images\bar_chart\bc_00\seed_0221.png
bar_chart,bc_00,0,222,0.25,0,experiment\images\bar_chart\bc_00\seed_0222.png
bar_chart,bc_00,0,223,0.25,0,experiment\images\bar_chart\bc_00\seed_0223.png
bar_chart,bc_00,0,224,0.25,0,experiment\images\bar_chart\bc_00\seed_0224.png
bar_chart,bc_00,0,225,0.25,0,experiment\images\bar_chart\bc_00\seed_0225.png
bar_chart,bc_00,0,226,0.25,0,experiment\images\bar_chart\bc_00\seed_0226.png
bar_chart,bc_00,0,227,0.25,0,experiment\images\bar_chart\bc_00\seed_0227.png
bar_chart,bc_00,0,228,0.25,0,experiment\images\bar_chart\bc_00\seed_0228.png
bar_chart,bc_00,0,229,0.25,0,experiment\images\bar_chart\bc_00\seed_0229.png
bar_chart,bc_00,0,230,0.25,0,experiment\images\bar_chart\bc_00\seed_0230.png
bar_chart,bc_00,0,231,0.25,0,experiment\images\bar_chart\bc_00\seed_0231.png
bar_chart,bc_00,0,232,0.4125,0,experiment\images\bar_chart\bc_00\seed_0232.png
bar_chart,bc_00,0,233,0.25,0,experiment\images\bar_chart\bc_00\seed_0233.png
bar_chart,bc_00,0,234,0.5667,0,experiment\images\bar_chart\bc_00\seed_0234.png
bar_chart,bc_00,0,235,0.25,0,experiment\images\bar_chart\bc_00\seed_0235.png
bar_chart,bc_00,0,236,0.55,0,experiment\images\bar_chart\bc_00\seed_0236.png
bar_chart,bc_00,0,237,0.3,0,experiment\images\bar_chart\bc_00\seed_0237.png
bar_chart,bc_00,0,238,0.25,0,experiment\images\bar_chart\bc_00\seed_0238.png
bar_chart,bc_00,0,239,0.7167,1,experiment\images\bar_chart\bc_00\seed_0239.png
bar_chart,bc_00,0,240,0.7,1,experiment\images\bar_chart\bc_00\seed_0240.png
bar_chart,bc_00,0,241,0.2,0,experiment\images\bar_chart\bc_00\seed_0241.png
bar_chart,bc_00,0,242,0.25,0,experiment\images\bar_chart\bc_00\seed_0242.png
bar_chart,bc_00,0,243,0.5667,0,experiment\images\bar_chart\bc_00\seed_0243.png
bar_chart,bc_00,0,244,0.25,0,experiment\images\bar_chart\bc_00\seed_0244.png
bar_chart,bc_00,0,245,0.25,0,experiment\images\bar_chart\bc_00\seed_0245.png
bar_chart,bc_00,0,246,0.25,0,experiment\images\bar_chart\bc_00\seed_0246.png
bar_chart,bc_00,0,247,0.25,0,experiment\images\bar_chart\bc_00\seed_0247.png
bar_chart,bc_00,0,248,0.25,0,experiment\images\bar_chart\bc_00\seed_0248.png
bar_chart,bc_00,0,249,0.25,0,experiment\images\bar_chart\bc_00\seed_0249.png
bar_chart,bc_00,0,250,0.7,1,experiment\images\bar_chart\bc_00\seed_0250.png
bar_chart,bc_00,0,251,0.7,1,experiment\images\bar_chart\bc_00\seed_0251.png
bar_chart,bc_00,0,252,0.25,0,experiment\images\bar_chart\bc_00\seed_0252.png
bar_chart,bc_00,0,253,0.25,0,experiment\images\bar_chart\bc_00\seed_0253.png
bar_chart,bc_00,0,254,0.35,0,experiment\images\bar_chart\bc_00\seed_0254.png
bar_chart,bc_00,0,255,0.25,0,experiment\images\bar_chart\bc_00\seed_0255.png
bar_chart,bc_00,0,256,0.25,0,experiment\images\bar_chart\bc_00\seed_0256.png
bar_chart,bc_00,0,257,0.25,0,experiment\images\bar_chart\bc_00\seed_0257.png
bar_chart,bc_00,0,258,0.25,0,experiment\images\bar_chart\bc_00\seed_0258.png
bar_chart,bc_00,0,259,0.25,0,experiment\images\bar_chart\bc_00\seed_0259.png
bar_chart,bc_00,0,260,0.3478,0,experiment\images\bar_chart\bc_00\seed_0260.png
bar_chart,bc_00,0,261,0.25,0,experiment\images\bar_chart\bc_00\seed_0261.png
bar_chart,bc_00,0,262,0.9,1,experiment\images\bar_chart\bc_00\seed_0262.png
bar_chart,bc_00,0,263,0.25,0,experiment\images\bar_chart\bc_00\seed_0263.png
bar_chart,bc_00,0,264,0.25,0,experiment\images\bar_chart\bc_00\seed_0264.png
bar_chart,bc_00,0,265,0.25,0,experiment\images\bar_chart\bc_00\seed_0265.png
bar_chart,bc_00,0,266,0.25,0,experiment\images\bar_chart\bc_00\seed_0266.png
bar_chart,bc_00,0,267,0.25,0,experiment\images\bar_chart\bc_00\seed_0267.png
bar_chart,bc_00,0,268,0.25,0,experiment\images\bar_chart\bc_00\seed_0268.png
bar_chart,bc_00,0,269,0.25,0,experiment\images\bar_chart\bc_00\seed_0269.png
bar_chart,bc_00,0,270,0.25,0,experiment\images\bar_chart\bc_00\seed_0270.png
bar_chart,bc_00,0,271,0.25,0,experiment\images\bar_chart\bc_00\seed_0271.png
bar_chart,bc_00,0,272,0.35,0,experiment\images\bar_chart\bc_00\seed_0272.png
bar_chart,bc_00,0,273,0.25,0,experiment\images\bar_chart\bc_00\seed_0273.png
bar_chart,bc_00,0,274,0.25,0,experiment\images\bar_chart\bc_00\seed_0274.png
bar_chart,bc_00,0,275,0.25,0,experiment\images\bar_chart\bc_00\seed_0275.png
bar_chart,bc_00,0,276,0.25,0,experiment\images\bar_chart\bc_00\seed_0276.png
bar_chart,bc_00,0,277,0.25,0,experiment\images\bar_chart\bc_00\seed_0277.png
bar_chart,bc_00,0,278,0.25,0,experiment\images\bar_chart\bc_00\seed_0278.png
bar_chart,bc_00,0,279,0.25,0,experiment\images\bar_chart\bc_00\seed_0279.png
bar_chart,bc_00,0,280,0.25,0,experiment\images\bar_chart\bc_00\seed_0280.png
bar_chart,bc_00,0,281,0.25,0,experiment\images\bar_chart\bc_00\seed_0281.png
bar_chart,bc_00,0,282,0.25,0,experiment\images\bar_chart\bc_00\seed_0282.png
bar_chart,bc_00,0,283,0.25,0,experiment\images\bar_chart\bc_00\seed_0283.png
bar_chart,bc_00,0,284,0.25,0,experiment\images\bar_chart\bc_00\seed_0284.png
bar_chart,bc_00,0,285,0.7,1,experiment\images\bar_chart\bc_00\seed_0285.png
bar_chart,bc_00,0,286,0.7,1,experiment\images\bar_chart\bc_00\seed_0286.png
bar_chart,bc_00,0,287,0.25,0,experiment\images\bar_chart\bc_00\seed_0287.png
bar_chart,bc_00,0,288,0.25,0,experiment\images\bar_chart\bc_00\seed_0288.png
bar_chart,bc_00,0,289,0.25,0,experiment\images\bar_chart\bc_00\seed_0289.png
bar_chart,bc_00,0,290,0.25,0,experiment\images\bar_chart\bc_00\seed_0290.png
bar_chart,bc_00,0,291,0.25,0,experiment\images\bar_chart\bc_00\seed_0291.png
bar_chart,bc_00,0,292,0.25,0,experiment\images\bar_chart\bc_00\seed_0292.png
bar_chart,bc_00,0,293,0.25,0,experiment\images\bar_chart\bc_00\seed_0293.png
bar_chart,bc_00,0,294,0.25,0,experiment\images\bar_chart\bc_00\seed_0294.png
bar_chart,bc_00,0,295,0.55,0,experiment\images\bar_chart\bc_00\seed_0295.png
bar_chart,bc_00,0,296,0.25,0,experiment\images\bar_chart\bc_00\seed_0296.png
bar_chart,bc_00,0,297,0.25,0,experiment\images\bar_chart\bc_00\seed_0297.png
bar_chart,bc_00,0,298,0.25,0,experiment\images\bar_chart\bc_00\seed_0298.png
bar_chart,bc_00,0,299,0.25,0,experiment\images\bar_chart\bc_00\seed_0299.png
bar_chart,bc_00,0,300,0.2,0,experiment\images\bar_chart\bc_00\seed_0300.png
bar_chart,bc_00,0,301,0.25,0,experiment\images\bar_chart\bc_00\seed_0301.png
